Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,0.2423942987232075,0.24052175336624917,1.0,0.00012147628692416035,828118.869160114
100,0.2423795603221299,0.24050600305376166,1.0,0.00012137048899774072,1656292.386047122
200,0.24236482814008384,0.2404902608256936,1.0,0.00012126483175578517,2484520.5449122963
300,0.24235010217391392,0.24047452667524657,1.0,0.00012115931495393362,3312803.339990694
400,0.24233538242054448,0.24045880059563288,1.0,0.0001210539383494913,4141140.7655011998
500,0.24232066887697953,0.24044308258007524,1.0,0.0001209487016994304,4969532.815646604
600,0.2423059615403024,0.24042737262180705,1.0,0.00012084360476150025,5797979.4846136235
700,0.24229126040767565,0.24041167071407202,1.0,0.00012073864729378325,6626480.766572991
800,0.24227656547634088,0.24039597685012434,1.0,0.00012063382905525,7455036.655679485
900,0.2422618767436184,0.2403802910232287,1.0,0.0001205291498050931,8283647.146071986
1000,0.24224719420690727,0.24036461322666017,1.0,0.00012042460930328236,9112312.23187354
1100,0.24223251786368488,0.2403489434537042,1.0,0.00012032020731023163,9941031.907191405
1200,0.2422178477115069,0.24033328169765666,1.0,0.00012021594358668786,10769806.166117111
1300,0.24220318374800703,0.24031762795182374,1.0,0.00012011181789417513,11598635.0026104
1400,0.24218852597098933,0.24030198220952192,1.0,0.0001200078299944396,12427518.41049735
1500,0.24217387437861282,0.24028634446407807,1.0,0.00011990397965011557,13256456.3838213
1600,0.24215922896938863,0.24027071470882921,1.0,0.00011980026662394838,14085448.916610055
1700,0.24214458974217737,0.2402550929371227,1.0,0.0001196966906797936,14914496.002875922
1800,0.24212995669618623,0.2402394791423161,1.0,0.00011959325158117373,15743597.636615762
1900,0.24211532983096595,0.24022387331777717,1.0,0.00011948994909294353,16572753.811811052
2000,0.2421007091464086,0.2402082754568839,1.0,0.0001193867829797357,17401964.522427935
2100,0.24208609464274444,0.24019268555302428,1.0,0.0001192837530077373,18231229.762417283
2200,0.24207148632053946,0.2401771035995967,1.0,0.00011918085894258024,19060549.52571473
2300,0.24205688418069254,0.24016152959000953,1.0,0.00011907810055067358,19889923.806240745
2400,0.24204228822443305,0.24014596351768117,1.0,0.00011897547759909255,20719352.597900677
2500,0.24202769845331798,0.24013040537604025,1.0,0.00011887298985557848,21548835.8945848
2600,0.24201311486922944,0.24011485515852535,1.0,0.00011877063708831681,22378373.690168384
2700,0.2419985374743723,0.24009931285858502,1.0,0.00011866841906527092,23207965.978511725
2800,0.24198396627127128,0.2400837784696779,1.0,0.00011856633555618057,24037612.753460214
2900,0.24196940126276867,0.2400682519852727,1.0,0.00011846438633011935,24867314.008844383
3000,0.24195484245202184,0.2400527333988479,1.0,0.00011836257115716009,25697069.738479964
3100,0.24194028984250068,0.24003722270389205,1.0,0.00011826088980826377,26526879.93616791
3200,0.24192574343798523,0.2400217198939035,1.0,0.00011815934205405831,27356744.595694494
3300,0.24191120324256307,0.24000622496239069,1.0,0.00011805792766650391,28186663.710831326
3400,0.24189666926062725,0.23999073790287176,1.0,0.00011795664641700565,29016637.27533541
