Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,0.0006647121800114806,0.0006647303132148065,8.08242361927114e-13,1.0,4.8683401560112337e-20
100,0.0013286676830320371,0.0013267760679260424,8.665290707199347e-13,1.0,9.734837722124478e-20
200,0.0019918572042302244,0.0019860817922489823,9.28812582401406e-13,1.0,1.4599531941660098e-19
300,0.002654304505669669,0.0026426605645260975,9.952039192739903e-13,1.0,1.9462428394075832e-19
400,0.003316033136755418,0.0032965253892179944,1.0658141036401503e-12,1.0,2.4323233195550857e-19
500,0.003977066252267136,0.003947689195074221,1.1408651801048109e-12,1.0,2.9182168705884328e-19
600,0.0046374269321142435,0.0045961648365303335,1.2210232824827472e-12,1.0,3.403924058487254e-19
700,0.005297138051548592,0.0052419650940334975,1.3065104553788842e-12,1.0,3.889445447004894e-19
800,0.005956222283974544,0.005885102676021167,1.3974377210956845e-12,1.0,4.374781597677947e-19
900,0.006614702103715219,0.00652559021690688,1.4944712134479232e-12,1.0,4.8599330699138e-19
1000,0.007272599788735451,0.007163440278629203,1.5977219547380628e-12,1.0,5.34490042098753e-19
1100,0.007929937423323433,0.007798665352917361,1.7076340341759533e-12,1.0,5.829684206039459e-19
1200,0.008586736900730347,0.008431277858979827,1.8249846078788323e-12,1.0,6.314284978159794e-19
1300,0.00924301992576979,0.009061290146142492,1.9497736758467e-12,1.0,6.798703288375319e-19
1400,0.009898808017377162,0.00968871449172981,2.0825563495918686e-12,1.0,7.282939685713796e-19
1500,0.010554122511129636,0.010313563105623246,2.2246648967438887e-12,1.0,7.766994717173731e-19
1600,0.011208984561727583,0.010935848128151812,2.375433183487985e-12,1.0,8.2508689277782415e-19
1700,0.011863415145438167,0.01155558162942604,2.536082455151245e-12,1.0,8.734562860634808e-19
1800,0.012517435062501497,0.01217277561321677,2.7071678232459817e-12,1.0,9.218077056888705e-19
1900,0.01317106493950024,0.012787442014150746,2.889577466191895e-12,1.0,9.701412055820456e-19
2000,0.013824325231692752,0.013399592699709844,3.0835334285939098e-12,1.0,1.0184568394813714e-18
2100,0.014477236225311255,0.014009239470824426,3.290479000384039e-12,1.0,1.0667546609417389e-18
2200,0.015129818039824766,0.014616394062523711,3.510525203864745e-12,1.0,1.1150347233322933e-18
2300,0.015782090630167972,0.015221068143285388,3.744782262060653e-12,1.0,1.1632970798437208e-18
2400,0.016434073788936156,0.01582327331632744,3.994360397996388e-12,1.0,1.2115417834869668e-18
2500,0.017085787148546912,0.01642302112021755,4.259925745486726e-12,1.0,1.2597688870957793e-18
2600,0.01773725018336981,0.01702032302900839,4.5425885275562905e-12,1.0,1.3079784433306234e-18
2700,0.01838848221182309,0.017615190451964097,4.843458967229708e-12,1.0,1.35617050468003e-18
2800,0.01903950239843947,0.018207634735138287,5.163647287531603e-12,1.0,1.4043451234615599e-18
2900,0.01969032975590054,0.018797667161591557,5.504374733789064e-12,1.0,1.4525023518241999e-18
