Previous Input,Current Input,Sum Propagation Delay,Cout Propagation Delay,Energy Dissipation at tau (kT),Energy Dissipation Total (kT)
000,000,0.0,0.0,56081.32618837381,91817.04744486182
000,001,1022800.0,0.0,65720.28064114774,101208.53631686467
000,010,1034800.0,0.0,65440.354726364865,100652.32561761975
000,011,0.0,936400.0,84876.09150527614,127576.20819267415
000,100,613700.0,0.0,60953.094490130425,96979.8216270586
000,101,999000.0,1315700.0,95610.72961860227,138868.0790042862
000,110,1009800.0,1324300.0,95418.1510921913,138483.9077176017
000,111,619400.0,936400.0,90109.65868659811,133122.8039603722
001,000,831200.0,0.0,62086.67080290408,97850.20933534474
001,001,0.0,0.0,55640.06370882571,91115.85477552985
001,010,0.0,0.0,60164.31037136205,95366.37946446039
001,011,992700.0,936400.0,87148.71501789981,129890.01415249778
001,100,1145300.0,960800.0,83594.95777307123,119725.91996094165
001,101,609000.0,968300.0,86094.5818015815,129230.03294392221
001,110,643200.0,995900.0,90957.55065395912,133909.52994381898
001,111,1348400.0,828200.0,118528.38394967944,161655.68380994868
010,000,827500.0,0.0,62780.24055252256,98542.89269077436
010,001,0.0,0.0,60568.27721580828,96046.7992526724
010,010,0.0,0.0,55225.00253170972,90424.03331950765
010,011,967600.0,936400.0,88049.39923706074,130791.3041727918
010,100,1137000.0,944300.0,83819.46209574722,119948.46105681469
010,101,642100.0,995600.0,91257.38476472315,134406.51480476398
010,110,610400.0,969300.0,85774.71776324953,128711.97923914592
010,111,1322500.0,853800.0,118394.54129854277,161514.0815480654
011,000,0.0,737000.0,65054.043022066806,100796.58791033743
011,001,1227100.0,824200.0,75431.42557880757,110950.4399519452
011,010,1246400.0,819100.0,74644.11404070428,109886.37495919799
011,011,0.0,0.0,67046.29213455356,109709.72298824463
011,100,613700.0,737100.0,69928.53016304849,105965.63709093106
011,101,1206100.0,1515500.0,104189.31995896796,147607.8192332716
011,110,1223900.0,1531200.0,103412.62231613325,146652.31098374873
011,111,613800.0,0.0,71932.89656114728,114902.04637480012
100,000,447700.0,0.0,59166.34422517936,94906.18987043548
100,001,1015000.0,0.0,67653.35249496673,103141.66047354987
100,010,1027700.0,0.0,67422.01984306535,102634.04431424342
100,011,448100.0,936400.0,87990.03092345665,130694.26537620329
100,100,0.0,0.0,56452.06323222504,92478.55557747046
100,101,1007300.0,1315700.0,91604.53577441502,134861.8882146731
100,110,1017700.0,1324300.0,91391.90304721154,134457.66232292596
100,111,0.0,936400.0,85613.16741464936,128626.07051739223
101,000,723700.0,790100.0,73069.99184733343,108844.47475306506
101,001,879300.0,795400.0,70350.42438828196,105852.29469399183
101,010,881500.0,795600.0,74930.53625429072,110157.64312430551
101,011,956700.0,605200.0,96755.91567684952,139496.71626688112
101,100,1207800.0,1157000.0,76009.77870259754,112160.56764383015
101,101,0.0,0.0,67586.0521350413,110677.83983974296
101,110,0.0,0.0,72553.73015511577,115455.52565189265
101,111,1364600.0,0.0,102665.88771439611,145793.12960154665
110,000,716300.0,789900.0,73731.9659582629,109505.41786825565
110,001,880800.0,795700.0,75312.60773971544,110817.2533176864
110,010,879600.0,795400.0,69953.94730004316,105177.96740943429
110,011,926100.0,605200.0,97399.35649677602,140140.51315779574
110,100,1204500.0,1153700.0,76685.74439241056,112835.65119489103
110,101,0.0,0.0,72856.38421715843,115956.47150158472
110,110,0.0,0.0,67261.10853505986,110153.67008376699
110,111,1340600.0,0.0,103203.97205322598,146323.4200444511
111,000,180400.0,737000.0,66781.34640195499,102523.8912902256
111,001,1227100.0,824200.0,77157.05363517287,112676.06800717655
111,010,1246400.0,819100.0,76370.20806585789,111612.46898353963
111,011,180400.0,0.0,68773.58769061323,111437.01854430433
111,100,443500.0,737100.0,68226.4353847786,104263.4465956894
111,101,1207700.0,1515500.0,102575.37749768807,145993.87675182745
111,110,1225400.0,1531200.0,101794.13143193006,145033.8200675931
111,111,443500.0,0.0,70230.80216477676,113199.85610181997
