pC,pA,pB,Q_stochastic,Q_input_state,Percentage Difference
0.0,0.0,0.0,56081.32618837271,56081.32618837381,-1.9590649408884407e-12
0.0,0.0,0.1,57349.6658701639,57484.900479635704,-0.235807144505365
0.0,0.0,0.2,58742.86378964119,58566.763539960564,0.2997815195242129
0.0,0.0,0.30000000000000004,59450.64246444566,59326.91536934837,0.20811733896952178
0.0,0.0,0.4,59709.95588823495,59765.35596779912,-0.09278198039179161
0.0,0.0,0.5,59907.76825368701,59882.08533531283,0.04287076471522311
0.0,0.0,0.6000000000000001,59934.12820485095,59677.1034718895,0.42884536850683225
0.0,0.0,0.7000000000000001,59294.00865935985,59150.41037752912,0.2421800871243058
0.0,0.0,0.8,58349.924984394915,58302.00605223169,0.08212338263680284
0.0,0.0,0.9,56933.5967982752,57131.890495997235,-0.34828942640779237
0.0,0.0,1.0,55640.063708826456,55640.06370882571,1.3338368563531658e-12
0.0,0.1,0.0,57505.00508877129,57517.97781299975,-0.02255929585334512
0.0,0.1,0.1,58764.82423542701,58849.19227167072,-0.1435689416949636
0.0,0.1,0.2,59935.74438038473,59947.98461433031,-0.020422260659510787
0.0,0.1,0.30000000000000004,60859.79964146881,60814.354840978536,0.07467129494016284
0.0,0.1,0.4,61606.295018515804,61448.3029516154,0.25645442053108586
0.0,0.1,0.5,62079.11815123481,61849.8289462409,0.369349971169573
0.0,0.1,0.6000000000000001,62093.12046237169,62018.93282485506,0.11947803068069297
0.0,0.1,0.7000000000000001,61990.98699622106,61955.61458745784,0.05706056715207771
0.0,0.1,0.8,61841.009395321606,61659.87423404925,0.2929046001083792
0.0,0.1,0.9,61222.85659259155,61131.71176462934,0.14887385697916286
0.0,0.1,1.0,60817.3012749752,60371.12717919803,0.7336302111793284
0.0,0.2,0.0,58554.103873311185,58616.34410644963,-0.106295253485747
0.0,0.2,0.1,59849.589929299334,59967.202125195574,-0.1965129519436564
0.0,0.2,0.2,60992.66350352215,61144.26882528806,-0.24856320917540997
0.0,0.2,0.30000000000000004,61986.61838537255,62147.54420672709,-0.2596138094742636
0.0,0.2,0.4,63093.480324055505,62977.02826951268,0.18457066236434042
0.0,0.2,0.5,63546.91398895514,63632.72101364483,-0.1350294126078308
0.0,0.2,0.6000000000000001,63876.61904680644,64114.622439123516,-0.3725986062954859
0.0,0.2,0.7000000000000001,64602.5543190445,64422.73254594877,0.27835087171270334
0.0,0.2,0.8,64189.16833192779,64557.05133412055,-0.573123179117089
0.0,0.2,0.9,64393.017650827656,64517.57880363889,-0.1934389120986224
0.0,0.2,1.0,64355.70448283571,64304.31495450379,0.07985232815783673
0.0,0.30000000000000004,0.0,59157.487070319,59376.4250687234,-0.37009347294308315
0.0,0.30000000000000004,0.1,60858.1759159127,60838.930040210274,0.0316241415599124
0.0,0.30000000000000004,0.2,61939.90413212276,62155.61617283383,-0.3482602108181057
0.0,0.30000000000000004,0.30000000000000004,63515.446090289006,63326.48346659406,0.2975065678139649
0.0,0.30000000000000004,0.4,63896.49246572094,64351.53192149098,-0.7121509150352199
0.0,0.30000000000000004,0.5,65219.02052094797,65230.761537524595,-0.018002442359366187
0.0,0.30000000000000004,0.6000000000000001,65861.94202419369,65964.17231469491,-0.15521906484880932
